0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED
0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x24, 0x24, 0x24, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x4A, 0x55, 0x4D, 0x50, 0x2D, 0x3E, 0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87
0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x87, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x87, 0x87, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x87, 0x87
