0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED
0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0xE6, 0x87, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED
0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87
0x94, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24
0x20, 0x20, 0x20, 0x20, 0x20, 0x94, 0x87, 0x24, 0x24, 0x24, 0x87, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87
0x94, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24
0x20, 0x20, 0x20, 0x20, 0x20, 0x94, 0x87, 0x24, 0x87, 0x24, 0x87, 0x24, 0x87, 0x24, 0x87, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED
0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED
0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE7, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0xED, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x9C, 0x9D, 0x20, 0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D
0x20, 0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x9C, 0x9D, 0x20, 0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D, 0x20
0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE4
0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87
