0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x87, 0x87, 0x87, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4
0x87, 0x87, 0x87, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x87, 0x87, 0x87, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x87, 0x87, 0x87, 0xE5, 0xE4
0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0xE4
0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0xED, 0xED, 0xED, 0xED, 0xED, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xED, 0xED, 0xED, 0xED, 0xED, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0XE6, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x91, 0x91, 0x91, 0x91, 0x91, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0xE4, 0x24, 0x24, 0x24, 0x24, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x24, 0x24, 0x24
0x24, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x24, 0x24, 0x24, 0x24, 0xE5, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x24, 0x24, 0x24, 0x24, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0X87
0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x24, 0x87, 0x24
0x87, 0x24, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
